"Тип індексу","Індексів","Рядків","Час, мс","Рядків/сек","Уповільнення, %"
BRIN,2,100000,676.28,147868,0.0
Partial,2,100000,695.89,143701,2.9
None,0,100000,778.01,128533,15.0
Hash,2,100000,956.92,104502,41.5
GIN,2,100000,1270.57,78705,87.9
B-tree,3,100000,1704.65,58663,152.1
Multi,7,100000,2310.73,43276,241.7
BRIN,2,500000,3347.91,149347,0.0
None,0,500000,3494.55,143080,4.4
Partial,2,500000,4419.64,113131,32.0
Hash,2,500000,5250.93,95221,56.8
GIN,2,500000,6997.52,71454,109.0
B-tree,3,500000,9257.94,54008,176.5
Multi,7,500000,14175.20,35273,323.4
BRIN,2,1000000,5663.58,176567,0.0
None,0,1000000,6526.45,153223,15.2
Partial,2,1000000,8624.51,115949,52.3
Hash,2,1000000,10286.00,97220,81.6
GIN,2,1000000,13522.98,73948,138.8
B-tree,3,1000000,18920.90,52852,234.1
Multi,7,1000000,28422.13,35184,401.8
