"Тип індексу","Індексів","Рядків","Час, мс","Рядків/сек","Уповільнення, %"
None,0,100000,631.39,158381,0.0
BRIN,2,100000,650.75,153669,3.1
Partial,2,100000,855.20,116932,35.4
Hash,2,100000,877.82,113919,39.0
GIN,2,100000,1173.12,85243,85.8
B-tree,3,100000,1342.47,74490,112.6
Multi,7,100000,2705.02,36968,328.4
BRIN,2,500000,3130.17,159736,0.0
None,0,500000,4280.34,116813,36.7
Partial,2,500000,4291.95,116497,37.1
Hash,2,500000,5309.78,94166,69.6
GIN,2,500000,5976.41,83662,90.9
B-tree,3,500000,10009.56,49952,219.8
Multi,7,500000,14504.47,34472,363.4
BRIN,2,1000000,7143.15,139994,0.0
None,0,1000000,7437.18,134460,4.1
Partial,2,1000000,7966.52,125525,11.5
Hash,2,1000000,8643.40,115695,21.0
GIN,2,1000000,13120.38,76217,83.7
B-tree,3,1000000,19360.55,51651,171.0
Multi,7,1000000,28443.84,35157,298.2
